flight_id,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,airlineName,isFreighter,productionLine,ageYears,manufacturer
EZY57UT_20180705,406d92,G-EZOM,A320,LIMC,,LGIR,LIMC,unclear,return,unknown,4badb5c2,smoke_burn_smell_flames,return,unknown,easyJet,False,Airbus A320,9.6,Airbus
NAX7191_20180706,4950cd,CS-TFM,B772,LFPO,LFPO,KEWR,LFPO,landing_gear,return,hold_to_reduce,4bae6d1a,landing_gear,return,fueldump,Euro-Asia Air,False,Boeing 777,26.5,Boeing
SWA4133_20180707,aaa929,N7860A,B737,KMCO,KDAL,KDAL,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
SWA2263_20181116,aaa929,N7860A,B737,KLAX,KPHX,KPHX,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
SWA2263_20181116,aaa929,N7860A,B737,KLAX,KPHX,KPHX,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
ASH5740_20180707,a390e3,N329MS,CRJ9,KDFW,,KAMA,,,,,,,,,Mesa Airlines,True,Canadair CRJ 900,17.3,Canadair
ICE784_20180708,4cc29f,TF-FIH,B752,BIKF,EGPF,EBLG,EGPF,unclear,diverted,unknown,,,,,Icelandair,True,Boeing 757,34.7,Boeing
UAL368_20180712,aa2ba2,N75426,B739,KSFO,KPHX,KPHX,,unclear,unclear,unknown,,,,,United Airlines,False,Boeing 737 NG,16.4,Boeing
UZB765_20180714,507c41,UK32018,A320,UTTT,UTTT,UAAA,UTTT,unclear,return,unknown,,,,,Uzbekistan Airways,False,Airbus A320,13.5,Airbus
EZY43YH_20180714,405b77,G-ECOD,DH8D,,EGCC,,,,,,,,,,Flybe,False,Bombardier DHC-8,16.3,Bombardier
DAH1025_20180715,0a0025,7T-VJR,B736,LFML,LFML,DAAG,LFML,unclear,return,unknown,,,,,Air Algerie,False,Boeing 737 NG,22.6,Boeing
BPA2221_20180717,4d2124,9H-GTC,B734,LATI,LIPY,LIMC,LIPY,cracked_windshield,diverted,unknown,4bb59538,cracked_windshield,diverted,unknown,Air Horizont,False,Boeing 737 Classic,32.4,Boeing
AZA875_20180719,4ca82e,EI-DTN,A320,GMMN,,LIRF,LIEE,unclear,diverted,unknown,4bb636ac,fuel_leak,diverted,unknown,ITA Airways,False,Airbus A320,15.0,Airbus
BAW2605_20180719,406b83,G-GATR,A320,LIRN,EGKK,EGKK,,hydraulics,planned,unknown,4bb62e20,hydraulics,planned,unknown,BA Cityflyer,False,Airbus A320,22.7,Airbus
DAL84_20180720,ab9387,N845MH,B764,KATL,LFPG,LFPG,,unclear,unclear,unknown,,,,,Delta Air Lines,False,Boeing 767,22.6,Boeing
ACA548_20180720,c0293e,C-FPQB,B789,CYVR,,KEWR,,unclear,unclear,unknown,,,,,Air Canada,False,Boeing 787,8.6,Boeing
CCA876_20180726,7811a3,B-1467,B789,LFPG,LFPG,ZBAA,LFPG,bomb_threat,diverted,fueldump,,,,,Air China,False,Boeing 787,7.2,Boeing
VOE24VW_20180726,3455d8,EC-MTD,A319,LIRN,LFLL,LFBD,LFLL,unclear,diverted,unknown,,,,,Volotea,False,Airbus A319,20.1,Airbus
LAN471_20180726,e80416,CC-BAF,A320,SAAR,,SCEL,,,,,,,,,LATAM Chile,False,Airbus A320,14.0,Airbus
FDB836_20180730,8962b8,A6-FDM,B738,OEJN,,OMDB,,,,,,,,,flydubai,False,Boeing 737 NG,14.0,Boeing
AAL484_20180731,a031bd,N111US,A320,KOAK,KSFO,KDFW,KSFO,door,diverted,hold_to_reduce,,,,,American Airlines,False,Airbus A320,25.1,Airbus
WJA211_20180804,c07eda,C-GWAZ,B737,CYEG,CYVR,CYVR,,,,,,,,,WestJet,False,Boeing 737 NG,20.5,Boeing
AAL43_20180808,aae958,N802AN,B788,LIPZ,LFPG,KORD,LFPG,unclear,diverted,unknown,,,,,American Airlines,False,Boeing 787,9.8,Boeing
CAL5321_20180808,89911d,B-18709,B744,KJFK,,PANC,,,,,,,,,China Airlines,True,Boeing 747,22.9,Boeing
VOI959_20180809,0d0932,XA-VLL,A320,KSAT,,MMGL,,,,,,,,,Volaris,False,Airbus A320,9.2,Airbus
SHT14P_20180811,400afc,G-EUXD,A321,EGPH,EGLL,EGLL,,unclear,planned,unknown,,,,,BA Cityflyer,False,Airbus A321,20.1,Airbus
UAL463_20180812,a923a9,N68823,B739,KLGA,KORD,KORD,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL463_20180812,a923a9,N68823,B739,KLGA,KORD,KORD,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL1014_20181101,a923a9,N68823,B739,KIAH,,MMUN,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL1014_20181101,a923a9,N68823,B739,KIAH,,MMUN,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
BCS5706_20180814,4070a7,G-DHKB,B752,LIME,LIME,LROP,LIME,unclear,return,unknown,4bc5c976,cabin_pressure,return,unknown,DHL Air,True,Boeing 757,24.1,Boeing
AFR35MP_20180815,3991e6,F-HEPG,A320,EIDW,LFPG,LFPG,,engine,planned,unknown,,,,,Air France,False,Airbus A320,11.2,Airbus
WJA454_20180815,c0371f,C-FUWS,B737,CYVR,,CYEG,,,,,,,,,WestJet,False,Boeing 737 NG,20.2,Boeing
BAW22KV_20180817,3c1298,D-AWBB,B737,EGKK,EGKK,LEIB,EGKK,technical,return,unknown,,,,,PrivatAir Germany,False,Boeing 737,25.0,Boeing
FHY638_20180818,4b9856,TC-FBV,A320,EGSH,EBBR,LTBS,EBBR,bird,diverted,hold_to_reduce,,,,,Freebird Airlines,False,Airbus A320,13.7,Airbus
AAL2756_20180820,ac754b,N9010R,A319,KDFW,,MSLP,,,,,,,,,American Airlines,False,Airbus A319,11.2,Airbus
AMX493_20180821,0d0707,XA-AMA,B738,KSJC,,MMMX,,,,,,,,,Aeromexico,False,Boeing 737 NG,12.3,Boeing
ARG1488_20180822,e07581,LV-GVA,B738,SABE,,SANE,,,,,,,,,Aerolineas Argentinas,False,Boeing 737 NG,7.4,Boeing
DAL389_20180826,a3ad5a,N336NW,A320,KATL,MMSD,MMSD,,,,,,,,,Delta Air Lines,False,Airbus A320,32.3,Airbus
ROT1975_20180828,4a08e6,YR-BGF,B737,LROP,,LROP,,unclear,unclear,unknown,,,,,TAROM,False,Boeing 737,23.7,Boeing
ICE82B_20180829,4cc270,TF-ISF,B752,BIKF,,ESSA,,,,,,,,,Icelandair,False,Boeing 757,33.9,Boeing
WZZ8HT_20180830,471f63,HA-LXB,A321,LROP,EGKK,EGKK,,technical,planned,unknown,,,,,Wizz Air,False,Airbus A321,8.9,Airbus
FDX5086_20180830,acc619,N922FD,B752,LFPG,LFSB,LFSB,,unclear,planned,unknown,,,,,FedEx - Federal Express,True,Boeing 757,35.7,Boeing
CMP253_20180902,0c20ce,HP-1854CMP,B738,KLAS,,MPTO,,,,,,,,,Copa Airlines,False,Boeing 737 NG,7.9,Boeing
