flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,id,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,registrations
EDV5383_20190922,EDV5383,DL5383,ac5f32,N8969A,CRJ2,KBTV,KDTW,KDTW,,,,,,,,,2122119,False,7969,AC5F32,Endeavor Air,CR2,CRJ2,CRJ2,CRJ-200LR,,,,2004-09-09,2013-06-26,Canadair CRJ 200,2.0,Jet,False,Canadair CRJ 100,20.2,True,2,"[{'reg': 'N8969A', 'active': False, 'hexIcao': 'AC5F32', 'airlineName': 'Endeavor Air', 'registrationDate': '2013-06-26'}, {'reg': 'N8969A', 'active': False, 'airlineName': 'Pinnacle Airlines', 'registrationDate': '2004-09-09'}]"
AFR46MN_20190923,AFR46MN,AF1116,4ca6ad,EI-RJZ,RJ85,LFPG,LFPG,EIDW,LFPG,technical,return,unknown,,,,,28622,False,2326,4CA6AD,Cityjet,AR8,RJ85,RJ85,Bae Avro RJ85,95.0,1998-04-21,1998-04-21,1998-04-24,2008-11-22,BAe Avro RJ85,4.0,Jet,False,BAe Avro RJ,26.6,True,2,"[{'reg': 'EI-RJZ', 'active': False, 'hexIcao': '4CA6AD', 'airlineName': 'Cityjet', 'registrationDate': '2008-11-22'}, {'reg': 'N512XJ', 'active': False, 'airlineName': 'Mesaba Aviation', 'registrationDate': '1998-04-24'}]"
TGR32_20190924,TGR32,,ad2775,N947DA,DV20,KPUB,KPUB,KPUB,,,,,,,,,101599,True,,AD2775,Thai Airways International,,,,,,,,,,Diamond DV20,,,False,,,False,1,"[{'reg': 'N947DA', 'active': True, 'hexIcao': 'AD2775', 'airlineName': 'Thai Airways International'}]"
GJS6202_20190924,GJS6202,DL6202,a3bd81,N340CA,CRJ7,KCVG,KRDU,KRDU,,,,,,,,,2121730,True,10062,A3BD81,Endeavor Air,,,,CRJ-701ER,,,,2002-10-29,2020-01-20,Canadair CRJ-701ER,,,False,,22.1,True,5,"[{'reg': 'N340CA', 'active': True, 'hexIcao': 'A3BD81', 'airlineName': 'Endeavor Air', 'registrationDate': '2020-01-20'}, {'reg': 'N340CA', 'active': False, 'airlineName': 'SkyWest Airlines', 'registrationDate': '2017-01-25'}, {'reg': 'N340CA', 'active': False, 'airlineName': 'GoJet Airlines', 'registrationDate': '2012-04-10'}, {'reg': 'N340CA', 'active': False, 'airlineName': 'SkyWest Airlines', 'registrationDate': '2007-01-25'}, {'reg': 'N340CA', 'active': False, 'airlineName': 'Comair', 'registrationDate': '2002-10-29'}]"
QXE2492_20190924,QXE2492,AS2492,a880b0,N647QX,E75L,KSTS,KSEA,KSEA,,,,,,,,,30508,True,17000773,A880B0,Horizon Air,E75,E175,E175,175LR,76.0,2018-12-11,,,2018-12-21,Embraer 175,2.0,Jet,False,Embraer ERJ170,5.9,True,1,"[{'reg': 'N647QX', 'active': True, 'hexIcao': 'A880B0', 'airlineName': 'Horizon Air', 'registrationDate': '2018-12-21'}]"
ASA976_20190926,ASA976,AS976,a360e3,N317AS,B739,KSEA,KBOI,KBOI,,,,,,,,,10821,True,30856,A360E3,Alaska Airlines,739,B739,B739,B737-990,,2003-03-06,2003-03-06,2003-03-26,2003-03-26,Boeing 737-900,2.0,Jet,False,Boeing 737 NG,21.7,True,1,"[{'reg': 'N317AS', 'active': True, 'hexIcao': 'A360E3', 'airlineName': 'Alaska Airlines', 'registrationDate': '2003-03-26'}]"
NDU792_20190930,NDU792,,aac0a3,N792ND,PA44,KIWA,KPHX,,,,,,,,,,56719,True,,AAC0A3,Unknown/Private owner,,,,,,,,,,Piper Archer,,,False,,,False,1,"[{'reg': 'N792ND', 'active': True, 'hexIcao': 'AAC0A3', 'airlineName': 'Unknown/Private owner'}]"
TOM683_20190930,TOM683,BY683,400ff4,G-FDZD,B738,DTNH,LFLL,EGBB,LFLL,unclear,diverted,unknown,,,,,13612,True,35132,400FF4,TUI Airways,738,B738,B738,B737-8K5,189.0,2007-05-18,2007-05-18,2007-05-30,2019-04-11,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,17.5,True,16,"[{'reg': 'G-FDZD', 'active': True, 'hexIcao': '400FF4', 'airlineName': 'TUI Airways', 'registrationDate': '2019-04-11'}, {'reg': 'C-FTZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2018-10-25'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'TUI Airways', 'registrationDate': '2017-10-01'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2017-05-16'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2016-12-12'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2015-03-24'}, {'reg': 'C-FTZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2014-11-14'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2014-04-13'}, {'reg': 'C-FTZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2013-11-27'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2013-04-02'}, {'reg': 'C-FTZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2012-12-03'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2012-05-01'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2011-11-02'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Thomson Airways', 'registrationDate': '2011-03-31'}, {'reg': 'G-FDZD', 'active': False, 'airlineName': 'Sunwing', 'registrationDate': '2010-11-25'}, {'reg': 'G-FDZD', 'active': False, 'hexIcao': '400FF4', 'airlineName': 'TUI Airways', 'registrationDate': '2007-05-30'}]"
DAL541_20191001,DAL541,DL541,a44591,N3744F,B738,KBOS,,KSEA,,,,,,,,,10805,True,30837,A44591,Delta Air Lines,738,B738,B738,B737-832,,2001-03-14,2001-03-14,2001-05-24,2001-05-24,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,23.7,True,1,"[{'reg': 'N3744F', 'active': True, 'hexIcao': 'A44591', 'airlineName': 'Delta Air Lines', 'registrationDate': '2001-05-24'}]"
RPA3591_20191002,RPA3591,UA3591,a9b4a4,N724YX,E75L,KORD,KORD,KDCA,KORD,unclear,return,unknown,4cd896a3,cabin_pressure,return,unknown,31503,True,17000502,A9B4A4,Republic Airways,E75,E175,E175,175LR,70.0,2015-08-18,,,2015-08-27,Embraer 175,2.0,Jet,False,Embraer ERJ170,9.3,True,1,"[{'reg': 'N724YX', 'active': True, 'hexIcao': 'A9B4A4', 'airlineName': 'Republic Airways', 'registrationDate': '2015-08-27'}]"
